algo,feature_set,pr_auc,pr_auc_lift,roc_auc,f1_positive,recall_positive,precision_positive,brier,accuracy,rank
xgboost,full,0.2500605812740654,3.097353499578092,0.7619879059030363,0.2826232298061144,0.624328678839957,0.18265378270091917,0.1725412325877818,0.7441194961736076,1
bagging,full,0.23107504482087227,2.8621908142997787,0.7470760522411003,0.26877283979724154,0.6122448979591837,0.17217942908926145,0.1810261104187653,0.7310468922756737,2
random_forest,full,0.22913077668540377,2.8381083072415736,0.7494658498135874,0.26152468257731415,0.6664876476906552,0.16267942583732056,0.20199774941787516,0.6961215773841785,3
decision_tree,full,0.1913811688907191,2.3705260949039206,0.7025788567338107,0.2298861570840907,0.6452738990332976,0.13985566290303805,0.207729591665376,0.6509636438528411,4
xgboost,reduced,0.17076674469038797,2.1151873341389704,0.6906888111320377,0.23090812533191715,0.583780880773362,0.1439163246392162,0.20250158142195893,0.6860407136817915,1
bagging,reduced,0.16082180619233416,1.9920052240155204,0.6764658932310612,0.22465001372495197,0.5494092373791621,0.14119108412117867,0.2035520372217886,0.6938235740455698,2
random_forest,reduced,0.15092877694614065,1.8694660832960874,0.6688293225407389,0.21256264930441707,0.6092910848549946,0.12873758865248228,0.2227938627592746,0.6355496780627399,3
decision_tree,reduced,0.14344605102386151,1.7767819536996938,0.6429572766229859,0.20148501237510313,0.5902255639097744,0.12147673261854758,0.22347163250201324,0.6223036399505713,4
