algo,feature_set,pr_auc,ci_low,ci_high,ci_width
decision_tree,reduced,0.14344605102386151,0.1360377665576601,0.15207371985789822,0.01603595330023813
decision_tree,full,0.1913811688907191,0.1810249085043362,0.20339786319735612,0.02237295469301992
bagging,reduced,0.16082180619233416,0.1529466280174027,0.17064459097723525,0.01769796295983256
bagging,full,0.23107504482087227,0.21759206474712223,0.24487130380422903,0.027279239057106802
random_forest,reduced,0.15092877694614065,0.1439275431977877,0.1595001094843605,0.015572566286572803
random_forest,full,0.22913077668540377,0.21737847955325132,0.24170316412627982,0.0243246845730285
xgboost,reduced,0.17185657731728593,0.16309838103077307,0.18207670831671313,0.018978327285940066
xgboost,full,0.25552666400519325,0.24224894518573087,0.26983828572965257,0.027589340543921703
