algo,pr_auc_full,pr_auc_reduced,gap,gap_relative,ci_low,ci_high,distinguishable
decision_tree,0.1913811688907191,0.14344605102386151,0.047935117866857585,0.33416826412937517,0.03751722253903445,0.05843948294388636,True
bagging,0.23107504482087227,0.16082180619233416,0.0702532386285381,0.43683901015586807,0.05893252391685365,0.08146292275534124,True
random_forest,0.22913077668540377,0.15092877694614065,0.07820199973926312,0.5181384313951588,0.0682533843495458,0.08816615646355808,True
xgboost,0.2500605812740654,0.17076674469038797,0.07929383658367742,0.46434003720948525,0.0686487442347227,0.08972364265518522,True
