name,strategy,role,pr_auc,pr_auc_lift,roc_auc,precision_positive,recall_positive,f1_positive,accuracy,balanced_accuracy,brier,base_rate,threshold
baseline_stratified,stratified,BASELINE chính thức — đoán ngẫu nhiên theo tỉ lệ lớp của tập train,0.08130831287766399,1.0071182997067687,0.5035797472986492,0.08731864588930682,0.08727175080558539,0.08729519204942252,0.8526676350076962,0.5035797472986492,0.14733236499230384,0.08073362672621241,0.5
reference_most_frequent,most_frequent,"Tham chiếu — đoán toàn 0, cho thấy accuracy 91,93% là vô nghĩa",0.08073362672621241,1.0,0.5,0.0,0.0,0.0,0.9192663732737876,0.5,0.08073362672621241,0.08073362672621241,0.5
