split,pr_auc,pr_auc_lift,roc_auc,precision_positive,recall_positive,f1_positive,accuracy,balanced_accuracy,brier,base_rate,threshold,calibration_gap
validation,0.16928958112143472,2.0968905769034425,0.6929775598533563,0.16673069535151747,0.46616541353383456,0.24561403508771928,0.7688121924252607,0.6307786245085865,0.07103956832694747,0.08073362672621241,0.1259429156780243,0.00015030082830115138
test,0.17270590117307866,2.1392065261575186,0.6946592112058221,0.1675287356321839,0.469656283566058,0.2469641344253036,0.768768833871702,0.6323471852469349,0.07094129224262968,0.08073362672621241,0.1259429156780243,-0.0005216308540003243
