biến thể,PR-AUC,ROC-AUC,macro-F1,recall(1),precision(1),brier,SHAP overdue (tổng),hạng tệ nhất,n_feat
"V0 gốc — kẹp overdue, spw auto",0.17105733405415635,0.6916322229394577,0.5176815785217362,0.5810955961331902,0.14426666666666665,0.20174336258682077,0.010809220373630524,17,17
"V1 FIX — miễn kẹp overdue, spw auto",0.17245273805859368,0.691160688020549,0.5171356354372034,0.5786788399570354,0.14370498799679915,0.2012386372178649,0.011107568629086018,16,17
"V2 miễn kẹp, spw = 1 (không cân bằng)",0.17625232060392604,0.6952685788728696,0.4829353362662392,0.004027926960257788,0.45454545454545453,0.0710309831441221,0.01213146187365055,17,17
"V3 miễn kẹp, spw = 2× auto",0.17251587718994776,0.6890423604839382,0.3669037042772233,0.8348549946294307,0.10588155161257365,0.31863414177829347,0.010585520416498184,17,17
"V4 miễn kẹp, spw auto + min_child_weight=1",0.17245273805859368,0.691160688020549,0.5171356354372034,0.5786788399570354,0.14370498799679915,0.2012386372178649,0.011107568629086018,16,17
