algo,feature_set,curve,x,y
decision_tree,reduced,pr,0.8617078410311493,0.09347509466938538
decision_tree,reduced,pr,0.8579484425349087,0.0936400937866354
decision_tree,reduced,pr,0.8533834586466166,0.09384874346632018
decision_tree,reduced,pr,0.8498925886143931,0.09405646359583952
decision_tree,reduced,pr,0.8442534908700322,0.09412046461501616
decision_tree,reduced,pr,0.8388829215896885,0.0941900081406217
decision_tree,reduced,pr,0.8372717508055854,0.09459377464959651
decision_tree,reduced,pr,0.8335123523093448,0.09474391062816678
decision_tree,reduced,pr,0.8284103114930182,0.09491139552055132
decision_tree,reduced,pr,0.8241138560687433,0.09507140423159134
decision_tree,reduced,pr,0.8190118152524167,0.095303565290754
decision_tree,reduced,pr,0.8152524167561761,0.09564012096774194
decision_tree,reduced,pr,0.8133727175080558,0.09599721104173929
decision_tree,reduced,pr,0.8096133190118152,0.0965016163620651
decision_tree,reduced,pr,0.8074650912996778,0.09669743062031708
decision_tree,reduced,pr,0.8042427497314716,0.0969475285663419
decision_tree,reduced,pr,0.8002148227712137,0.09711901968452613
decision_tree,reduced,pr,0.7972610096670247,0.09768696739380779
decision_tree,reduced,pr,0.7943071965628357,0.09799893983567452
decision_tree,reduced,pr,0.7908163265306123,0.09860050890585242
decision_tree,reduced,pr,0.7878625134264232,0.09898785425101214
decision_tree,reduced,pr,0.7857142857142857,0.09920998202963414
decision_tree,reduced,pr,0.7830290010741139,0.09954256844404998
decision_tree,reduced,pr,0.7811493018259935,0.10005847349774705
decision_tree,reduced,pr,0.7768528464017186,0.10040606670600076
decision_tree,reduced,pr,0.7733619763694952,0.10059729644765797
decision_tree,reduced,pr,0.7709452201933404,0.10098487513190292
decision_tree,reduced,pr,0.7690655209452202,0.10133748496213997
decision_tree,reduced,pr,0.7650375939849624,0.10184821077467558
decision_tree,reduced,pr,0.761546723952739,0.10242334501065405
decision_tree,reduced,pr,0.7593984962406015,0.10294867127775756
decision_tree,reduced,pr,0.7542964554242749,0.1030901350557839
decision_tree,reduced,pr,0.7497314715359829,0.10327353430737932
decision_tree,reduced,pr,0.7435553168635876,0.10348307048359369
decision_tree,reduced,pr,0.7403329752953813,0.10368559608875517
decision_tree,reduced,pr,0.7389903329752954,0.10438080788924711
decision_tree,reduced,pr,0.7357679914070892,0.10462407881171484
decision_tree,reduced,pr,0.7303974221267454,0.10501930501930502
decision_tree,reduced,pr,0.7263694951664876,0.10519561328459205
decision_tree,reduced,pr,0.7231471535982814,0.1059235368156073
decision_tree,reduced,pr,0.7177765843179377,0.10621473416514345
decision_tree,reduced,pr,0.715359828141783,0.10669229845007809
decision_tree,reduced,pr,0.7118689581095596,0.10709812951965418
decision_tree,reduced,pr,0.7091836734693877,0.10756323056245673
decision_tree,reduced,pr,0.7056928034371643,0.10793494332183341
decision_tree,reduced,pr,0.7032760472610097,0.10848763514353175
decision_tree,reduced,pr,0.6984425349087003,0.10884211407289618
decision_tree,reduced,pr,0.6952201933404941,0.10909320748356649
decision_tree,reduced,pr,0.6903866809881848,0.10969365986858946
decision_tree,reduced,pr,0.6844790547798066,0.11028902734510211
decision_tree,reduced,pr,0.6828678839957035,0.11083024624101111
decision_tree,reduced,pr,0.6764232008592911,0.11143552311435523
decision_tree,reduced,pr,0.6742749731471536,0.111938302425107
decision_tree,reduced,pr,0.667561761546724,0.11273865130833069
decision_tree,reduced,pr,0.6627282491944146,0.1128796194657885
decision_tree,reduced,pr,0.6595059076262084,0.11370896800777813
decision_tree,reduced,pr,0.6557465091299678,0.11396835767956316
