algo,feature_set,pr_auc,pr_auc_lift,roc_auc,f1_positive,recall_positive,precision_positive,brier,balanced_accuracy,accuracy
decision_tree,reduced,0.14344605102386151,1.7767819536996938,0.6429572766229859,0.20148501237510313,0.5902255639097744,0.12147673261854758,0.22347163250201324,0.6076732139997897,0.6223036399505713
decision_tree,full,0.1913811688907191,2.3705260949039206,0.7025788567338107,0.2298861570840907,0.6452738990332976,0.13985566290303805,0.207729591665376,0.6483686194456633,0.6509636438528411
bagging,reduced,0.16082180619233416,1.9920052240155204,0.6764658932310612,0.22465001372495197,0.5494092373791621,0.14119108412117867,0.2035520372217886,0.6279579262385753,0.6938235740455698
bagging,full,0.23107504482087227,2.8621908142997787,0.7470760522411003,0.26877283979724154,0.6122448979591837,0.17217942908926145,0.1810261104187653,0.6768627267901242,0.7310468922756737
random_forest,reduced,0.15092877694614065,1.8694660832960874,0.6688293225407389,0.21256264930441707,0.6092910848549946,0.12873758865248228,0.2227938627592746,0.6235734484718809,0.6355496780627399
random_forest,full,0.22913077668540377,2.8381083072415736,0.7494658498135874,0.26152468257731415,0.6664876476906552,0.16267942583732056,0.20199774941787516,0.6826058972835277,0.6961215773841785
xgboost,reduced,0.17176929094055193,2.1276052855034475,0.6907624327545273,0.22822308967434896,0.5730397422126745,0.14248514388729386,0.2023309477743498,0.6350801144853435,0.6871029982439786
xgboost,full,0.2559856618896447,3.1707439919397538,0.7627429811182371,0.28491347794296856,0.6278195488721805,0.18426860025220682,0.17261010575386115,0.6918665227793679,0.7455720077178225
