algo,feature_set,bin,mean_predicted,observed_rate,gap
random_forest,reduced,4,0.44209689247102185,0.06590071536960763,0.37619617710141423
random_forest,reduced,5,0.47616878815465025,0.07241977450130095,0.4037490136533493
random_forest,reduced,6,0.5118968312348692,0.0897463689572946,0.4221504622775746
random_forest,reduced,7,0.5503423355625288,0.10472679965307892,0.44561553590944986
random_forest,reduced,8,0.5972972316750956,0.12551484933882506,0.47178238233627057
random_forest,reduced,9,0.6694604752869872,0.18382831129416866,0.4856321639928185
random_forest,full,0,0.21284589821454733,0.011489269455885541,0.20135662875866178
random_forest,full,1,0.27812764489948066,0.02102753089096033,0.25710011400852034
random_forest,full,2,0.32327217169272865,0.029705117085862966,0.29356705460686566
random_forest,full,3,0.364873904604833,0.037069152395404294,0.3278047522094287
random_forest,full,4,0.4049420247955455,0.05050942987210059,0.35443259492344487
random_forest,full,5,0.4458876149337206,0.05941023417172593,0.38647738076199467
random_forest,full,6,0.4909876172365825,0.08476045957077824,0.4062271576658043
random_forest,full,7,0.5418562753118096,0.11079791847354727,0.4310583568382623
random_forest,full,8,0.6021513182931544,0.14936050292651204,0.45279081536664234
random_forest,full,9,0.6973194793339912,0.25319748536743986,0.44412199396655133
xgboost,reduced,0,0.13932436742288268,0.024062432256665944,0.11526193516621673
xgboost,reduced,1,0.23022426123761727,0.028398005636245394,0.20182625560137188
xgboost,reduced,2,0.28897092063609975,0.04401561144839549,0.24495530918770425
xgboost,reduced,3,0.3391398485986576,0.0535443312378062,0.28559551736085137
xgboost,reduced,4,0.3858825558570003,0.05961413396921743,0.3262684218877829
xgboost,reduced,5,0.4352061218628135,0.0704683434518647,0.3647377784109488
xgboost,reduced,6,0.4868171653273616,0.07912421417732494,0.4076929511500366
xgboost,reduced,7,0.545179643350793,0.10407632263660017,0.4411033207141929
xgboost,reduced,8,0.6185889965330679,0.13743767613266855,0.4811513204003993
xgboost,reduced,9,0.7321226620477734,0.20659007153696077,0.5255325905108127
xgboost,full,0,0.0742390263261269,0.011922826793843485,0.062316199532283414
xgboost,full,1,0.1391676262379623,0.01755907218729677,0.12160855405066553
xgboost,full,2,0.19279852127922895,0.02580225498699046,0.1669962662922385
xgboost,full,3,0.24640752740144575,0.036852373726425317,0.20955515367502042
xgboost,full,4,0.3030154454638326,0.04639063516150011,0.2566248103023325
xgboost,full,5,0.3658030102447851,0.055941023417172595,0.3098619868276125
xgboost,full,6,0.43699602519460595,0.08020810752221981,0.35678791767238616
xgboost,full,7,0.5233321541020484,0.10754553339115351,0.41578662071089484
xgboost,full,8,0.6286911030614709,0.15304574029915458,0.47564536276231634
xgboost,full,9,0.782409747691416,0.27205722956861045,0.5103525181228056
