algo,feature_set,feature,importance,rank
decision_tree,full,BUREAU_OVERDUE_LOAN_COUNT,0.0,68
decision_tree,full,AMT_REQ_CREDIT_BUREAU_WEEK,0.0,69
decision_tree,full,AMT_REQ_CREDIT_BUREAU_MON,0.0,70
decision_tree,full,FLAG_DOCUMENT_5,0.0,71
decision_tree,full,DEF_30_CNT_SOCIAL_CIRCLE,0.0,72
decision_tree,full,FLAG_DOCUMENT_6,0.0,73
decision_tree,full,BUREAU_NO_RECORD,0.0,74
decision_tree,full,NAME_CONTRACT_TYPE,0.0,75
decision_tree,full,bureau_overdue_loan_share,0.0,76
decision_tree,full,BUREAU_MAX_DAYS_OVERDUE,0.0,77
decision_tree,full,NAME_HOUSING_TYPE,0.0,78
decision_tree,full,HOUSETYPE_MODE,0.0,79
decision_tree,full,OCCUPATION_TYPE_MISSING,0.0,80
decision_tree,full,EXT_SOURCE_3_MISSING,0.0,81
decision_tree,full,EXT_SOURCE_1_MISSING,0.0,82
random_forest,reduced,credit_term_implied,0.04045629949357957,1
random_forest,reduced,employment_years,0.03567058470653611,2
random_forest,reduced,age_years,0.03263068582851232,3
random_forest,reduced,bureau_debt_income_ratio,0.028102006261594193,4
random_forest,reduced,bureau_active_loan_count,0.023601567160732126,5
random_forest,reduced,bureau_credit_income_ratio,0.021484257870456398,6
random_forest,reduced,employment_ratio,0.01987250505049133,7
random_forest,reduced,dti,0.013048715003552354,8
random_forest,reduced,bureau_loan_count,0.009800224846043223,9
random_forest,reduced,credit_income_ratio,0.007517661544577142,10
random_forest,reduced,bureau_no_record,0.005009918209600302,11
random_forest,reduced,income_per_capita_ratio,0.0023869155194198364,12
random_forest,reduced,children_ratio,0.000779748482734615,13
random_forest,reduced,bureau_overdue_income_ratio,0.0004354384734492302,14
random_forest,reduced,bureau_overdue_loan_share,0.00042322948041889863,15
random_forest,reduced,bureau_overdue_loan_count,0.00016501144618128678,16
random_forest,reduced,bureau_has_overdue,0.00015946499446358136,17
random_forest,full,EXT_SOURCE_2,0.061730620464516335,1
random_forest,full,EXT_SOURCE_3,0.051851943177630595,2
random_forest,full,credit_goods_markup,0.025732686174994926,3
random_forest,full,EXT_SOURCE_1,0.023782297946314705,4
random_forest,full,DAYS_EMPLOYED,0.01988294565798116,5
random_forest,full,DAYS_BIRTH,0.015590593989410555,6
random_forest,full,credit_term_implied,0.012602849868190116,7
random_forest,full,CODE_GENDER,0.011788457731256433,8
random_forest,full,NAME_EDUCATION_TYPE,0.010916419951836287,9
random_forest,full,BUREAU_HISTORY_YEARS,0.01041986076376613,10
random_forest,full,bureau_debt_income_ratio,0.007124491346666312,11
random_forest,full,FLAG_DOCUMENT_3,0.007016954691353159,12
random_forest,full,DAYS_LAST_PHONE_CHANGE,0.005744670094644108,13
random_forest,full,BUREAU_TOTAL_DEBT,0.00543028994293873,14
random_forest,full,BUREAU_ACTIVE_LOAN_COUNT,0.005090161836941943,15
random_forest,full,OCCUPATION_TYPE,0.005015128645909827,16
random_forest,full,DAYS_ID_PUBLISH,0.004991336802936569,17
random_forest,full,bureau_credit_income_ratio,0.0049516227173876624,18
random_forest,full,NAME_INCOME_TYPE,0.004332705208342623,19
random_forest,full,BUREAU_TOTAL_CREDIT,0.003839876823656799,20
random_forest,full,REGION_RATING_CLIENT,0.0037797698495234755,21
random_forest,full,AMT_CREDIT,0.0035213552164369316,22
random_forest,full,AMT_ANNUITY,0.003285975733044289,23
random_forest,full,dti,0.0029025709250423653,24
random_forest,full,FLAG_OWN_CAR,0.00260669488708587,25
random_forest,full,ORGANIZATION_TYPE,0.0024564029336668915,26
random_forest,full,REGION_POPULATION_RELATIVE,0.0022864587553726393,27
random_forest,full,REG_CITY_NOT_WORK_CITY,0.0021408962879628365,28
random_forest,full,FLAG_EMP_PHONE,0.002030841843880307,29
random_forest,full,TOTALAREA_MODE,0.0019017083385796298,30
random_forest,full,DAYS_REGISTRATION,0.0018536797369351357,31
random_forest,full,ELEVATORS_AVG,0.0018041404632895236,32
random_forest,full,NAME_CONTRACT_TYPE,0.001688587927294951,33
random_forest,full,FLOORSMAX_AVG,0.0016688992774672225,34
random_forest,full,credit_income_ratio,0.0016403179571101887,35
random_forest,full,LIVINGAREA_AVG,0.001575136408301307,36
random_forest,full,BUREAU_LOAN_COUNT,0.0014109691050250034,37
random_forest,full,AMT_INCOME_TOTAL,0.001286794548476294,38
random_forest,full,EXT_SOURCE_1_MISSING,0.00125316017354859,39
random_forest,full,APARTMENTS_AVG,0.0011988112469712765,40
random_forest,full,EMERGENCYSTATE_MODE,0.0011019476029388222,41
random_forest,full,AMT_REQ_CREDIT_BUREAU_YEAR,0.001041072185175142,42
random_forest,full,HOUR_APPR_PROCESS_START,0.0009893952972479323,43
random_forest,full,DEF_30_CNT_SOCIAL_CIRCLE,0.0009684229710738272,44
random_forest,full,BUREAU_NO_RECORD,0.0009336174572325369,45
random_forest,full,HOUSETYPE_MODE,0.0008441918310842228,46
random_forest,full,WALLSMATERIAL_MODE,0.0007917140328252819,47
random_forest,full,OCCUPATION_TYPE_MISSING,0.0007604511628638419,48
random_forest,full,NAME_FAMILY_STATUS,0.000720952717367435,49
random_forest,full,DEF_60_CNT_SOCIAL_CIRCLE,0.0007060858896671201,50
random_forest,full,YEARS_BEGINEXPLUATATION_AVG,0.0006885545011457088,51
random_forest,full,EXT_SOURCE_3_MISSING,0.0006016779083142936,52
random_forest,full,FLAG_WORK_PHONE,0.0005909424992960001,53
random_forest,full,OBS_30_CNT_SOCIAL_CIRCLE,0.0005834026659355169,54
random_forest,full,BASEMENTAREA_AVG,0.000556469899317966,55
random_forest,full,income_per_capita_ratio,0.000553070721060142,56
random_forest,full,WEEKDAY_APPR_PROCESS_START,0.0005009008262001322,57
random_forest,full,NONLIVINGAREA_AVG,0.00043369822318103994,58
random_forest,full,ENTRANCES_AVG,0.00041786560557890463,59
random_forest,full,CNT_FAM_MEMBERS,0.00041277283287919026,60
random_forest,full,REG_CITY_NOT_LIVE_CITY,0.00030947454809235743,61
random_forest,full,LANDAREA_AVG,0.0002892135995678183,62
random_forest,full,AMT_REQ_CREDIT_BUREAU_QRT,0.0002483085368249322,63
random_forest,full,FLAG_PHONE,0.0002346249336562542,64
random_forest,full,NAME_HOUSING_TYPE,0.00021507333112328735,65
random_forest,full,CNT_CHILDREN,0.00012402336608051973,66
random_forest,full,LIVE_CITY_NOT_WORK_CITY,0.00012073560184854961,67
random_forest,full,FLAG_DOCUMENT_6,8.852746292688601e-05,68
random_forest,full,AMT_REQ_CREDIT_BUREAU_MON,7.808792519451985e-05,69
random_forest,full,FLAG_OWN_REALTY,7.179380921223045e-05,70
random_forest,full,NAME_TYPE_SUITE,7.07663258927214e-05,71
random_forest,full,FLAG_DOCUMENT_8,5.1212963700175484e-05,72
random_forest,full,BUREAU_OVERDUE_LOAN_COUNT,2.8430965802735242e-05,73
random_forest,full,BUREAU_TOTAL_OVERDUE,2.3220988461797972e-05,74
random_forest,full,FLAG_DOCUMENT_5,2.2055820511940884e-05,75
random_forest,full,REG_REGION_NOT_WORK_REGION,0.0,76
random_forest,full,FLAG_EMAIL,0.0,77
random_forest,full,REG_REGION_NOT_LIVE_REGION,0.0,78
random_forest,full,AMT_REQ_CREDIT_BUREAU_WEEK,0.0,79
random_forest,full,LIVE_REGION_NOT_WORK_REGION,0.0,80
random_forest,full,bureau_overdue_loan_share,0.0,81
random_forest,full,BUREAU_MAX_DAYS_OVERDUE,0.0,82
xgboost,reduced,credit_term_implied,0.3776625394821167,1
