feature,rank_builtin,rank_permutation,rank_shap,rank_mean,rank_spread,algo,feature_set
BUREAU_HISTORY_YEARS,8,12,9.0,9.666666666666666,4,random_forest,full
CODE_GENDER,13,9,10.0,10.666666666666666,4,random_forest,full
bureau_debt_income_ratio,16,11,12.0,13.0,5,random_forest,full
NAME_INCOME_TYPE,18,15,11.0,14.666666666666666,7,random_forest,full
BUREAU_TOTAL_DEBT,14,19,13.0,15.333333333333334,6,random_forest,full
BUREAU_ACTIVE_LOAN_COUNT,11,23,14.0,16.0,12,random_forest,full
OCCUPATION_TYPE,23,10,17.0,16.666666666666668,13,random_forest,full
credit_term_implied,1,1,1.0,1.0,0,xgboost,reduced
bureau_active_loan_count,2,4,4.0,3.3333333333333335,2,xgboost,reduced
bureau_credit_income_ratio,6,2,2.0,3.3333333333333335,4,xgboost,reduced
bureau_debt_income_ratio,5,3,3.0,3.6666666666666665,2,xgboost,reduced
age_years,7,5,5.0,5.666666666666667,2,xgboost,reduced
employment_years,3,8,6.0,5.666666666666667,5,xgboost,reduced
dti,10,6,8.0,8.0,4,xgboost,reduced
employment_ratio,9,10,7.0,8.666666666666666,3,xgboost,reduced
bureau_loan_count,11,7,10.0,9.333333333333334,4,xgboost,reduced
credit_income_ratio,12,9,9.0,10.0,3,xgboost,reduced
bureau_overdue_income_ratio,4,15,12.0,10.333333333333334,11,xgboost,reduced
bureau_no_record,8,13,14.0,11.666666666666666,6,xgboost,reduced
children_ratio,13,11,11.0,11.666666666666666,2,xgboost,reduced
bureau_overdue_loan_share,14,16,13.0,14.333333333333334,3,xgboost,reduced
bureau_overdue_loan_count,15,14,15.0,14.666666666666666,1,xgboost,reduced
EXT_SOURCE_2,2,1,1.0,1.3333333333333333,1,xgboost,full
EXT_SOURCE_3,1,2,2.0,1.6666666666666667,1,xgboost,full
EXT_SOURCE_1,5,4,4.0,4.333333333333333,1,xgboost,full
credit_term_implied,9,3,3.0,5.0,6,xgboost,full
CODE_GENDER,3,7,7.0,5.666666666666667,4,xgboost,full
credit_goods_markup,6,8,5.0,6.333333333333333,3,xgboost,full
NAME_EDUCATION_TYPE,4,9,9.0,7.333333333333333,5,xgboost,full
DAYS_EMPLOYED,12,10,6.0,9.333333333333334,6,xgboost,full
FLAG_OWN_CAR,8,12,11.0,10.333333333333334,4,xgboost,full
BUREAU_TOTAL_CREDIT,18,6,8.0,10.666666666666666,12,xgboost,full
DAYS_BIRTH,19,5,10.0,11.333333333333334,14,xgboost,full
bureau_debt_income_ratio,22,13,13.0,16.0,9,xgboost,full
AMT_ANNUITY,26,17,12.0,18.333333333333332,14,xgboost,full
FLAG_WORK_PHONE,16,16,26.0,19.333333333333332,10,xgboost,full
bureau_credit_income_ratio,25,14,20.0,19.666666666666668,11,xgboost,full
