algo,feature_set,feature,importance,std,rank
decision_tree,full,bureau_overdue_loan_share,0.0,0.0,54
decision_tree,full,FLAG_DOCUMENT_5,0.0,0.0,55
decision_tree,full,bureau_overdue_loan_count,0.0,0.0,56
decision_tree,full,BUREAU_NO_RECORD,0.0,0.0,57
decision_tree,full,NAME_FAMILY_STATUS,-5.776338273683068e-06,3.8530302465376115e-05,58
decision_tree,full,DAYS_REGISTRATION,-8.434452758160349e-06,0.0002838943263891809,59
decision_tree,full,WEEKDAY_APPR_PROCESS_START,-1.323231117221768e-05,0.00024573704816788493,60
decision_tree,full,WALLSMATERIAL_MODE,-1.6020171736996768e-05,0.00010429307797496095,61
decision_tree,full,AMT_REQ_CREDIT_BUREAU_YEAR,-3.521217916206965e-05,0.00011930501525899646,62
decision_tree,full,FLAG_PHONE,-3.73866375281362e-05,2.0965859735817958e-05,63
decision_tree,full,FLAG_WORK_PHONE,-4.685581281290707e-05,4.1316168223318836e-05,64
decision_tree,full,ENTRANCES_AVG,-4.7701457315402204e-05,9.35512687483674e-05,65
decision_tree,full,TOTALAREA_MODE,-6.259691692844793e-05,7.046384227033112e-05,66
decision_tree,full,LIVE_CITY_NOT_WORK_CITY,-6.351788269520208e-05,0.0002750954661469239,67
decision_tree,full,FLOORSMAX_AVG,-6.859306567331137e-05,6.39912225531552e-05,68
decision_tree,full,FLAG_DOCUMENT_8,-7.940325245435753e-05,8.193092913437717e-05,69
decision_tree,full,EMERGENCYSTATE_MODE,-7.953591850037856e-05,0.00013650580780775912,70
decision_tree,full,BUREAU_ACTIVE_LOAN_COUNT,-9.09780316485198e-05,8.62108987834346e-05,71
decision_tree,full,APARTMENTS_AVG,-0.00014385934065914708,7.015955126153356e-05,72
decision_tree,full,REGION_POPULATION_RELATIVE,-0.00023703849316163982,0.00034163648642187536,73
decision_tree,full,AMT_INCOME_TOTAL,-0.00024316222715910495,0.0001024614430947493,74
decision_tree,full,HOUR_APPR_PROCESS_START,-0.0002771764938719112,0.00014907695578497763,75
decision_tree,full,BUREAU_HISTORY_YEARS,-0.000289974300192386,0.00038999451538562676,76
decision_tree,full,NAME_INCOME_TYPE,-0.0005447874733704005,0.0007160358971837168,77
decision_tree,full,income_per_capita_ratio,-0.0005567661594566064,0.0005910432370469045,78
decision_tree,full,OBS_30_CNT_SOCIAL_CIRCLE,-0.0005850558196352385,0.0007309463562880122,79
decision_tree,full,NAME_TYPE_SUITE,-0.0006482105731896948,0.0002500887678122365,80
