algo,feature_set,feature,importance,rank
decision_tree,full,AMT_REQ_CREDIT_BUREAU_WEEK,0.0,69
decision_tree,full,AMT_REQ_CREDIT_BUREAU_MON,0.0,70
decision_tree,full,FLAG_DOCUMENT_5,0.0,71
decision_tree,full,DEF_30_CNT_SOCIAL_CIRCLE,0.0,72
decision_tree,full,FLAG_DOCUMENT_6,0.0,73
decision_tree,full,BUREAU_NO_RECORD,0.0,74
decision_tree,full,NAME_CONTRACT_TYPE,0.0,75
decision_tree,full,bureau_overdue_loan_share,0.0,76
decision_tree,full,BUREAU_MAX_DAYS_OVERDUE,0.0,77
decision_tree,full,NAME_HOUSING_TYPE,0.0,78
decision_tree,full,HOUSETYPE_MODE,0.0,79
decision_tree,full,OCCUPATION_TYPE_MISSING,0.0,80
decision_tree,full,EXT_SOURCE_3_MISSING,0.0,81
decision_tree,full,EXT_SOURCE_1_MISSING,0.0,82
bagging,reduced,credit_term_implied,0.31916604714943925,1
bagging,reduced,employment_years,0.1673867713683407,2
bagging,reduced,bureau_credit_income_ratio,0.0972153814453391,3
bagging,reduced,age_years,0.0949312421356426,4
bagging,reduced,bureau_debt_income_ratio,0.07423877336162833,5
bagging,reduced,bureau_active_loan_count,0.059825208159316745,6
bagging,reduced,dti,0.058371054560124855,7
bagging,reduced,credit_income_ratio,0.04129778987473055,8
bagging,reduced,income_per_capita_ratio,0.033028107799254074,9
bagging,reduced,employment_ratio,0.03224178539454923,10
bagging,reduced,bureau_loan_count,0.01888690095019789,11
bagging,reduced,children_ratio,0.003088276319572086,12
bagging,reduced,bureau_no_record,0.0003226614818645741,13
bagging,reduced,bureau_overdue_loan_share,0.0,14
bagging,reduced,bureau_has_overdue,0.0,15
bagging,reduced,bureau_overdue_loan_count,0.0,16
bagging,reduced,bureau_overdue_income_ratio,0.0,17
bagging,full,EXT_SOURCE_3,0.2942677844367374,1
bagging,full,EXT_SOURCE_2,0.2380560996586817,2
bagging,full,EXT_SOURCE_1,0.06101255796197716,3
bagging,full,credit_goods_markup,0.04064602285356421,4
bagging,full,DAYS_EMPLOYED,0.0327473096845402,5
bagging,full,credit_term_implied,0.03169059876265513,6
bagging,full,DAYS_BIRTH,0.028710309237853882,7
bagging,full,AMT_ANNUITY,0.01755910564844728,8
bagging,full,DAYS_ID_PUBLISH,0.015088521522942218,9
bagging,full,DAYS_LAST_PHONE_CHANGE,0.01473146954406746,10
bagging,full,dti,0.014728306908937394,11
bagging,full,DAYS_REGISTRATION,0.014725828461276546,12
bagging,full,NAME_EDUCATION_TYPE,0.013548622815250669,13
bagging,full,AMT_CREDIT,0.01342932968894808,14
bagging,full,BUREAU_HISTORY_YEARS,0.012838662350006646,15
bagging,full,credit_income_ratio,0.011457501244317148,16
bagging,full,bureau_credit_income_ratio,0.010682830767692275,17
bagging,full,BUREAU_TOTAL_CREDIT,0.010524228522611779,18
bagging,full,REGION_POPULATION_RELATIVE,0.010297739040137074,19
bagging,full,bureau_debt_income_ratio,0.008636260976295688,20
bagging,full,CODE_GENDER,0.007932966391568493,21
bagging,full,OCCUPATION_TYPE,0.00791529991790013,22
bagging,full,income_per_capita_ratio,0.006415554030472465,23
bagging,full,BUREAU_TOTAL_DEBT,0.006142006971022692,24
bagging,full,ORGANIZATION_TYPE,0.005956174458854322,25
bagging,full,AMT_INCOME_TOTAL,0.0048088888539370225,26
bagging,full,HOUR_APPR_PROCESS_START,0.004458417935683013,27
bagging,full,WEEKDAY_APPR_PROCESS_START,0.003977646313765057,28
bagging,full,NAME_INCOME_TYPE,0.00387026594895996,29
bagging,full,BUREAU_LOAN_COUNT,0.0034376376051602825,30
bagging,full,BUREAU_ACTIVE_LOAN_COUNT,0.003218849337441082,31
bagging,full,AMT_REQ_CREDIT_BUREAU_YEAR,0.0030097780831385814,32
bagging,full,FLAG_DOCUMENT_3,0.0029314857815202324,33
bagging,full,OBS_30_CNT_SOCIAL_CIRCLE,0.0027965325284074107,34
bagging,full,LIVINGAREA_AVG,0.0027598348324674366,35
bagging,full,FLAG_OWN_CAR,0.0025231902044176918,36
bagging,full,NONLIVINGAREA_AVG,0.0023488578022514855,37
bagging,full,YEARS_BEGINEXPLUATATION_AVG,0.0023470019245285328,38
bagging,full,APARTMENTS_AVG,0.002337680685041272,39
bagging,full,TOTALAREA_MODE,0.0023090260925326344,40
bagging,full,BASEMENTAREA_AVG,0.0022915224594700647,41
bagging,full,LANDAREA_AVG,0.0021794950452648553,42
bagging,full,WALLSMATERIAL_MODE,0.0014433874623584072,43
bagging,full,EXT_SOURCE_1_MISSING,0.0013380109587167973,44
bagging,full,ELEVATORS_AVG,0.0013180977186541313,45
bagging,full,ENTRANCES_AVG,0.0012050191049702726,46
bagging,full,NAME_FAMILY_STATUS,0.0011453109767917387,47
bagging,full,DEF_60_CNT_SOCIAL_CIRCLE,0.0009347420453940447,48
bagging,full,REG_CITY_NOT_WORK_CITY,0.000899117278301107,49
bagging,full,NAME_CONTRACT_TYPE,0.0008912405804599702,50
bagging,full,FLAG_PHONE,0.000818357298342701,51
bagging,full,FLAG_WORK_PHONE,0.0008146476801327915,52
bagging,full,EMERGENCYSTATE_MODE,0.0007670038181046006,53
bagging,full,CNT_FAM_MEMBERS,0.0007445838639747966,54
bagging,full,FLOORSMAX_AVG,0.000721737892094235,55
bagging,full,NAME_TYPE_SUITE,0.0007176929295189637,56
bagging,full,FLAG_OWN_REALTY,0.0007054383949038677,57
bagging,full,AMT_REQ_CREDIT_BUREAU_QRT,0.0006171041132212111,58
bagging,full,REGION_RATING_CLIENT,0.0005987644951546144,59
bagging,full,DEF_30_CNT_SOCIAL_CIRCLE,0.0005595352486659458,60
bagging,full,CNT_CHILDREN,0.0005077040227700268,61
bagging,full,HOUSETYPE_MODE,0.00043206652225202986,62
bagging,full,NAME_HOUSING_TYPE,0.00031113574909522637,63
bagging,full,OCCUPATION_TYPE_MISSING,0.00021643781139505936,64
