run_at,task,algo,feature_set,random_seed,n_rows,n_splits,note,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,fit_seconds,split,pr_auc,pr_auc_lift,roc_auc,precision_positive,recall_positive,f1_positive,brier,base_rate,threshold,n_features,overfit_gap
2026-08-14T13:15:12+00:00,ml01,decision_tree,default,42,3000,,task7 decision_tree,0.8623333333333333,0.8490183157714277,0.8482952284642999,0.8490183157714277,0.8486051495543119,0.8626756861943837,0.14,validation,,,,,,,,,,,
2026-08-14T13:15:21+00:00,ml01,bagging,default,42,3000,,task8 bagging,0.912,0.9006101651329866,0.9024696112857844,0.9006101651329866,0.901493373711753,0.9119631077964312,6.3,validation,,,,,,,,,,,
2026-08-14T13:15:23+00:00,ml01,random_forest,default,42,3000,,task9 random_forest,0.86,0.8495575702007238,0.8565342696568383,0.8495575702007238,0.8510558009989376,0.8594350528880388,0.84,validation,,,,,,,,,,,
2026-08-14T13:15:28+00:00,ml01,xgboost,default,42,3000,,task10 xgboost,0.9206666666666666,0.9087079966748016,0.911781814566077,0.9087079966748016,0.91015785496003,0.920513853167202,2.21,validation,,,,,,,,,,,
2026-08-14T13:15:33+00:00,ml01,decision_tree,default,42,3000,,task11 test evaluation,0.867,0.8499533925882474,0.8496628577738158,0.8499533925882474,0.8497866448101872,0.8669129823634149,,test,,,,,,,,,,,
2026-08-14T13:15:33+00:00,ml01,bagging,default,42,3000,,task11 test evaluation,0.91,0.8969611214424493,0.8997073267753539,0.8969611214424493,0.8981920039952997,0.9098559074563912,,test,,,,,,,,,,,
2026-08-14T13:15:33+00:00,ml01,random_forest,default,42,3000,,task11 test evaluation,0.8593333333333333,0.8483546864770931,0.853376814796686,0.8483546864770931,0.848963096325226,0.8586850812063069,,test,,,,,,,,,,,
2026-08-14T13:15:33+00:00,ml01,xgboost,default,42,3000,,task11 test evaluation,0.9263333333333332,0.914610910098462,0.9169260553299424,0.914610910098462,0.915672145446731,0.9260647377055916,,test,,,,,,,,,,,
2026-08-15T07:10:48+00:00,ml02,baseline_stratified,—,42,215257,1.0,BASELINE chính thức — đoán ngẫu nhiên theo tỉ lệ lớp của tập train,0.8526676350076962,0.5035797472986492,,,,,,validation,0.0813083128776639,1.0071182997067687,0.5035797472986492,0.0873186458893068,0.0872717508055853,0.0872951920494225,0.1473323649923038,0.0807336267262124,0.5,,
2026-08-15T07:10:48+00:00,ml02,reference_most_frequent,—,42,215257,1.0,"Tham chiếu — đoán toàn 0, cho thấy accuracy 91,93% là vô nghĩa",0.9192663732737876,0.5,,,,,,validation,0.0807336267262124,1.0,0.5,0.0,0.0,0.0,0.0807336267262124,0.0807336267262124,0.5,,
2026-08-15T07:22:06+00:00,ml02,decision_tree,reduced,42,215257,1.0,train PR-AUC 0.1896,0.6167537450950636,0.605144450113259,,,,,,validation,0.1445064008898062,1.7899158844908951,0.642274461484635,0.1199477067218651,0.5912996777658431,0.1994384566615342,0.2236391774340153,0.0807336267262124,0.5,17.0,0.0451344054361779
2026-08-15T07:22:06+00:00,ml02,decision_tree,full,42,215257,1.0,train PR-AUC 0.2436,0.6510070024063997,0.6483922026826984,,,,,,validation,0.1913868323380742,2.370596244698805,0.702666784084674,0.139871944121071,0.6452738990332976,0.2299081515499426,0.2077038620880311,0.0807336267262124,0.5,82.0,0.0522404737403705
2026-08-15T07:39:21+00:00,ml02,bagging,reduced,42,215257,1.0,train PR-AUC 0.2062,0.696685238580441,0.6284121663614736,,,,,,validation,0.1608276696364401,1.992077851052652,0.6764535949909103,0.1420403040234293,0.5469924812030075,0.2255189593135898,0.2031560835861473,0.0807336267262124,0.5,17.0,0.045399102776051
2026-08-15T07:39:21+00:00,ml02,bagging,full,42,215257,1.0,train PR-AUC 0.2693,0.7309818544453357,0.6768273519345714,,,,,,validation,0.2310788505884965,2.8622379541072984,0.747094062640168,0.1721404303510758,0.6122448979591837,0.2687253226471801,0.1810268763116267,0.0807336267262124,0.5,82.0,0.0382710028438363
2026-08-15T07:49:04+00:00,ml02,random_forest,reduced,42,215257,1.0,train PR-AUC 0.1879,0.6338803737507317,0.6199710963492262,,,,,,validation,0.1505167034377077,1.8643619708569128,0.668015846516747,0.1272511043153245,0.6033834586466166,0.2101767842110186,0.2227386220443636,0.0807336267262124,0.5,17.0,0.0373455275883312
2026-08-15T07:49:04+00:00,ml02,random_forest,full,42,215257,1.0,train PR-AUC 0.2614,0.6971188241160274,0.6854752913916651,,,,,,validation,0.2293104449540448,2.840333752522885,0.7491549107860835,0.1640107548035936,0.6715896885069818,0.2636378010857534,0.2016857664140113,0.0807336267262124,0.5,82.0,0.0321000517973543
2026-08-15T08:06:00+00:00,ml02,xgboost,reduced,42,215257,1.0,train PR-AUC 0.2730,0.6879051314848137,0.6391905827752242,,,,,,validation,0.17105733405415635,2.1187866938550135,0.6916322229394577,0.14426666666666665,0.5810955961331902,0.23114719077120274,0.20174336258682077,0.08073362672621241,0.5,17.0,0.10197859610671589
2026-08-15T08:06:00+00:00,ml02,xgboost,full,42,215257,1.0,train PR-AUC 0.3847,0.7461573481908643,0.692797259546797,,,,,,validation,0.25328362793179193,3.1372754848576174,0.7639254518425361,0.18491042538079078,0.6291621911922664,0.2858188472095151,0.1717475866272799,0.08073362672621241,0.5,82.0,0.13138715105813387
