algo,validation_accuracy,test_accuracy,gap_accuracy,validation_macro_f1,test_macro_f1,gap_macro_f1,validation_balanced_accuracy,test_balanced_accuracy,gap_balanced_accuracy,fit_seconds
decision_tree,0.833,0.8303333333333334,0.002666666666666595,0.6784265144555892,0.6799337315654072,-0.0015072171098179377,0.6839965853663049,0.6836697213037719,0.0003268640625330166,0.24
bagging,0.902,0.903,-0.0010000000000000009,0.7530879645198246,0.7493541213834969,0.0037338431363277413,0.7301968076680353,0.727161409819272,0.003035397848763277,6.22
random_forest,0.8436666666666667,0.8396666666666667,0.0040000000000000036,0.6240628184018007,0.6161419001271422,0.007920918274658462,0.622644117464979,0.6135419565074958,0.009102160957483285,0.83
xgboost,0.9073333333333332,0.9076666666666666,-0.00033333333333340764,0.7495849451767521,0.7648435738691064,-0.015258628692354281,0.7277624036897341,0.7379009269018308,-0.01013852321209674,3.07
